iter	Passed	Remaining
0	137	137638
1	139	69848
2	142	47298
3	144	35874
4	145	29025
5	148	24538
6	149	21252
7	152	18859
8	154	16966
9	155	15426
10	158	14278
11	160	13226
12	162	12325
13	165	11652
14	167	10986
15	168	10386
16	172	9972
17	174	9529
18	177	9166
19	179	8793
20	181	8473
21	184	8184
22	187	7965
23	189	7707
24	191	7481
25	193	7255
26	197	7114
27	199	6927
28	203	6826
29	208	6730
30	211	6610
31	213	6462
32	215	6315
33	219	6240
34	221	6108
35	223	5988
36	226	5886
37	228	5772
38	230	5687
39	234	5620
40	236	5528
41	239	5468
42	243	5425
43	245	5338
44	247	5259
45	250	5199
46	253	5130
47	255	5063
48	259	5027
49	260	4956
50	265	4931
51	267	4874
52	269	4823
53	271	4763
54	275	4733
55	277	4676
56	279	4621
57	281	4577
58	284	4541
59	286	4487
60	292	4495
61	294	4452
62	296	4410
63	298	4370
64	301	4336
65	303	4293
66	305	4251
67	306	4202
68	309	4169
69	311	4133
70	314	4109
71	316	4080
72	318	4048
73	321	4022
74	323	3994
75	326	3966
76	328	3941
77	330	3910
78	334	3903
79	338	3890
80	340	3864
81	343	3849
82	346	3824
83	348	3800
84	351	3787
85	353	3761
86	355	3729
87	357	3705
88	359	3681
89	363	3678
90	366	3656
91	368	3633
92	370	3611
93	372	3588
94	375	3576
95	378	3559
96	380	3538
97	383	3528
98	385	3509
99	387	3488
100	389	3471
101	391	3446
102	393	3426
103	395	3411
104	398	3394
105	400	3374
106	401	3354
107	404	3337
108	407	3330
109	409	3312
110	411	3299
111	415	3290
112	417	3273
113	419	3259
114	421	3247
115	424	3231
116	426	3216
117	429	3208
118	431	3190
119	433	3180
120	435	3162
121	437	3149
122	439	3135
123	441	3119
124	444	3111
125	446	3099
126	448	3084
127	450	3068
128	453	3059
129	455	3050
130	457	3037
131	459	3023
132	462	3012
133	464	3001
134	467	2998
135	470	2987
136	473	2981
137	475	2967
138	487	3016
139	489	3005
140	492	2998
141	494	2986
142	498	2989
143	501	2978
144	503	2968
145	506	2963
146	508	2950
147	511	2941
148	515	2941
149	520	2947
150	522	2939
151	534	2981
152	536	2971
153	539	2962
154	546	2981
155	549	2970
156	551	2961
157	553	2950
158	559	2957
159	561	2947
160	566	2952
161	570	2953
162	573	2946
163	575	2935
164	578	2925
165	583	2930
166	588	2936
167	594	2944
168	599	2949
169	602	2942
170	609	2952
171	618	2975
172	620	2968
173	623	2960
174	626	2954
175	630	2951
176	633	2945
177	635	2934
178	637	2925
179	640	2919
180	642	2906
181	648	2916
182	652	2911
183	656	2910
184	658	2899
185	660	2889
186	662	2881
187	666	2876
188	670	2875
189	672	2866
190	675	2863
191	678	2856
192	682	2853
193	685	2846
194	687	2837
195	689	2827
196	692	2820
197	694	2813
198	697	2805
199	698	2795
200	701	2787
201	705	2786
202	707	2778
203	711	2776
204	713	2767
205	715	2759
206	718	2752
