iter	Passed	Remaining
0	148	147957
1	148	74335
2	149	49746
3	150	37466
4	151	30174
5	152	25326
6	153	21804
7	154	19148
8	155	17086
9	155	15428
10	156	14074
11	157	12963
12	159	12090
13	160	11292
14	161	10610
15	162	9984
16	163	9429
17	163	8933
18	164	8492
19	165	8104
20	167	7797
21	168	7493
22	169	7204
23	170	6931
24	171	6677
25	171	6443
26	172	6223
27	173	6021
28	174	5838
29	175	5662
30	175	5498
31	176	5342
32	177	5195
33	178	5058
34	178	4927
35	179	4804
36	180	4690
37	181	4598
38	182	4504
39	183	4408
40	184	4314
41	185	4227
42	186	4142
43	186	4060
44	187	3981
45	188	3906
46	189	3835
47	189	3766
48	190	3702
49	191	3639
50	192	3577
51	193	3518
52	193	3462
53	194	3407
54	195	3364
55	196	3319
56	197	3273
57	198	3227
58	199	3180
59	200	3135
60	201	3094
61	201	3052
62	202	3015
63	203	2976
64	204	2938
65	204	2900
66	205	2865
67	206	2829
68	207	2794
69	207	2761
70	208	2729
71	209	2704
72	211	2682
73	212	2656
74	213	2629
75	214	2601
76	214	2573
77	215	2545
78	216	2518
79	216	2492
80	217	2468
81	218	2444
82	218	2416
83	219	2394
84	220	2371
85	220	2348
86	221	2325
87	222	2304
88	223	2283
89	223	2262
90	224	2246
91	225	2229
92	226	2213
93	227	2194
94	228	2175
95	229	2157
96	229	2139
97	230	2122
98	231	2107
99	232	2090
100	232	2073
101	233	2057
102	234	2041
103	235	2026
104	235	2011
105	236	1997
106	237	1982
107	238	1972
108	240	1962
109	241	1951
110	241	1938
111	242	1925
112	243	1911
113	244	1897
114	244	1884
115	245	1872
116	246	1859
117	247	1847
118	247	1835
119	248	1822
120	249	1810
121	249	1798
122	250	1788
123	251	1776
124	252	1765
125	253	1757
126	255	1753
127	256	1744
128	256	1733
129	257	1723
130	258	1713
131	258	1702
132	259	1692
133	260	1684
134	261	1674
135	262	1665
136	262	1655
137	263	1646
138	264	1637
139	265	1628
140	265	1619
141	266	1609
142	267	1600
143	268	1595
144	269	1589
145	270	1582
146	271	1574
147	272	1566
148	272	1558
149	273	1550
